Date,Time,Transaction Details,Day,Day_type,Amount,Upcoming_Assignment_Cost,Budget,Balance,Tags,
03/12/2025,16:57:23,Paid to Mr C M Kodanda Pani,Wednesday,Weekday,-50.00,0,7000,1311,#🛒 Groceries,
03/12/2025,16:55:36,Paid to Afsal K,Wednesday,Weekday,-92.00,16,7000,1203,#🛍 Shopping,
03/12/2025,16:49:21,Paid to G Mani Mekalai,Wednesday,Weekday,-50.00,21,7000,1132,#🛒 Groceries,
03/12/2025,16:46:10,Paid to Sk Pooja Shop,Wednesday,Weekday,-40.00,0,7000,1092,#🛒 Groceries,
03/12/2025,16:10:51,Paid to Khushi Iyengars Pastries,Wednesday,Weekday,-20.00,0,7000,1072,#🥘 Food,
02/12/2025,19:00:22,Paid to Mr Chand Pasha M,Tuesday,Weekday,-52.00,0,7000,1020,#🛒 Groceries,
02/12/2025,18:58:50,Paid to Afsal K,Tuesday,Weekday,-90.00,26,7000,904,#🛍 Shopping,
02/12/2025,18:50:21,Paid to Sk Pooja Shop,Tuesday,Weekday,-32.00,95,7000,777,#🛒 Groceries,
02/12/2025,18:43:19,Paid to Kapu Laxmi Amman Vegatablestore,Tuesday,Weekday,-163.00,0,7000,614,#🛒 Groceries,
02/12/2025,17:15:55,Paid to A Geetha,Tuesday,Weekday,-10.00,0,7000,604,#🥘 Food,
02/12/2025,10:37:02,Recharge of Airtel Mobile 7795412369,Tuesday,Weekday,-380.80,0,7000,223.2,#🧾 Bill Payments,
01/12/2025,20:13:55,Paid to Balaji Super Market,Monday,Weekday,-35.00,48,7000,140.2,#🛒 Groceries,
01/12/2025,20:11:11,Paid to Afsal K,Monday,Weekday,-104.00,0,7000,36.2,#🛍 Shopping,
01/12/2025,20:06:06,Paid to Mr Chand Pasha M,Monday,Weekday,-52.00,13,7000,-28.8,#🛒 Groceries,
01/12/2025,17:19:40,Paid to A Geetha,Monday,Weekday,-10.00,0,7000,-38.8,#🥘 Food,
30/11/2025,20:30:18,Paid to Afsal K,Sunday,Weekend,-40.00,17,7000,-95.8,#🛍 Shopping,
30/11/2025,20:28:59,Paid to Mr C M Kodanda Pani,Sunday,Weekend,-10.00,0,7000,-105.8,#🛒 Groceries,
30/11/2025,20:23:17,Paid to Jeeva fast food,Sunday,Weekend,-200.00,39,7000,-344.8,#🥘 Food,
30/11/2025,17:50:22,Paid to Khushi Iyengars Pastries,Sunday,Weekend,-40.00,0,7000,-384.8,#🥘 Travel,
30/11/2025,17:45:10,Paid to Suhasini,Sunday,Weekend,-142.00,16,7000,-542.8,#🛒 Groceries,
30/11/2025,17:41:13,Paid to Ravi Kumar P,Sunday,Weekend,-12.00,28,7000,-582.8,#🥘 Food,
30/11/2025,17:40:24,Paid to Mr C M Kodanda Pani,Sunday,Weekend,-92.00,0,7000,-674.8,#🛒 Groceries,
30/11/2025,17:35:15,Paid to Mr Narpat Singh,Sunday,Weekend,-54.00,0,7000,-728.8,#🛍 Shopping,
30/11/2025,17:06:18,Paid to Bsnl Billdesk,Sunday,Weekend,-199.00,0,7000,-927.8,#🧾 Bill Payments,
30/11/2025,11:59:40,Paid to Bakers Park,Sunday,Weekend,-20.00,46,7000,-993.8,#🥘 Food,
30/11/2025,11:55:45,Paid to Jeeva fast food,Sunday,Weekend,-200.00,45,7000,-1238.8,#🥘 Food,
28/11/2025,16:44:42,Paid to Khushi Iyengars Pastries,Friday,Weekday,-25.00,90,7000,-1353.8,#🥘 Food,
27/11/2025,17:57:08,Paid to Afsal K,Thursday,Weekday,-70.00,0,7000,-1423.8,#🛍 Shopping,
27/11/2025,17:55:21,Paid to Satish R,Thursday,Weekday,-52.00,0,7000,-1475.8,#🛒 Groceries,
27-11-2025,17:50:33,Paid to Bakers Park,Thursday,Weekday,-20.00,0,7000,-1495.8,#🥘 Food,
,,,Saturday,Weekend,,0,7000,-1495.8,#🏦 Services,
27/11/2025,15:56:14,Paid to Bmtc Bus Ka57f3641,Thursday,Weekday,-12.00,0,7000,-1507.8,#✈️ Travel,
27/11/2025,14:51:21,Money sent to Bhavitha B S,Thursday,Weekday,-60.00,29,7000,-1596.8,#💵 Money Transfer,
27/11/2025,10:59:35,Paid to Bmtc Bus Ka57f2514,Thursday,Weekday,-12.00,73,7000,-1681.8,#✈️ Travel,
,,,,,,,,,,
